ticker,date,adjOpen,adjClose,price_rate_of_change_1M,price_rate_of_change_3M,epsDil,return_on_assets,return_on_equity,price_to_earnings_ratio,debt_to_equity_ratio
AAPL,2000-01-31,0.801663828610248,0.793102147595244,0.009143079466977788,0.29493260109835284,0.006,0.021507459794613448,0.03576030927835051,132.183691265874,0.6626932989690721
AAPL,2000-02-29,0.795013237107522,0.876196319589078,0.10477108433734905,0.17114539695514353,0.009,0.02412338518323227,0.04145899410965111,97.35514662100867,0.7186225645672859
AAPL,2000-03-31,0.906315090302575,1.03818026664974,0.18487175013087231,0.32098044937263404,0.009,0.02412338518323227,0.04145899410965111,115.35336296108223,0.7186225645672859
AAPL,2000-04-30,1.03581051565451,0.948359059572684,-0.08651792946027914,0.19575903614457824,0.009,0.02412338518323227,0.04145899410965111,105.37322884140934,0.7186225645672859
AAPL,2000-05-31,0.954550989592464,0.642126076125306,-0.32290827019184254,-0.2671436049555048,0.011,0.0332524618238904,0.05527876631079478,58.37509782957328,0.6623962040332148
AAPL,2000-06-30,0.624926270514807,0.800822949224846,0.2471428571428571,-0.22862823061630522,0.011,0.0332524618238904,0.05527876631079478,72.80208629316782,0.6623962040332148
AAPL,2000-07-31,0.79700077020029,0.776819664950638,-0.02997327224131363,-0.18088021924875053,0.01,0.028851702250432775,0.04789272030651341,77.6819664950638,0.6599616858237548
AAPL,2000-08-31,0.769175306901527,0.931694359025622,0.19937020271600003,0.4509523809523801,0.01,0.028851702250432775,0.04789272030651341,93.1694359025622,0.6599616858237548
AAPL,2000-09-30,0.937351183981965,0.393684439529205,-0.57745323268789,-0.5084001527300502,0.01,0.028851702250432775,0.04789272030651341,39.3684439529205,0.6599616858237548
AAPL,2000-10-31,0.408055832661534,0.299047286881214,-0.240388349514562,-0.615036410155481,0.01,0.028851702250432775,0.04789272030651341,29.904728688121402,0.6599616858237548
AAPL,2000-11-30,0.297212640949427,0.252263815620656,-0.15644171779141114,-0.7292418772563175,0.01,0.028851702250432775,0.04789272030651341,25.226381562065598,0.6599616858237548
AAPL,2000-12-31,0.259908173669767,0.227496095541537,-0.09818181818181826,-0.42213592233009645,0.008,0.024988975452006467,0.0413927440954468,28.437011942692124,0.6564402240077916
AAPL,2001-01-31,0.227496095541537,0.33054204204355,0.45295698924731,0.10531697341513135,0.008,0.024988975452006467,0.0413927440954468,41.31775525544375,0.6564402240077916
AAPL,2001-02-28,0.316323536072204,0.279019068792544,-0.1558741905642903,0.10606060606060708,-0.01,-0.03257601069161377,-0.0525323275862069,0.0,0.6126077586206896
AAPL,2001-03-31,0.272292033709326,0.33742196428775,0.20931506849314907,0.48319892473118253,-0.01,-0.03257601069161377,-0.0525323275862069,0.0,0.6126077586206896
