date,adjOpen,adjClose,return_month,return_month_cumulative
2020-01-31 00:00:00+00:00,274.2658292215,270.5443746568,-0.013568786805353339,-0.013568786805353339
2020-02-29 00:00:00+00:00,271.7609717668,244.5324661754,-0.10019284746584212,-0.11240213888451012
2020-03-31 00:00:00+00:00,246.5977741667,211.2546305349,-0.14332304397811813,-0.23961536616804902
2020-04-30 00:00:00+00:00,202.9867624056,234.4977511457,0.15523666847366147,-0.12157578885341203
2020-05-31 00:00:00+00:00,230.9882872276,245.6491628076,0.06347021208722214,-0.06582201786938724
2020-06-30 00:00:00+00:00,245.1564927339,249.8319851634,0.01907146075292787,-0.04800587914693388
2020-07-31 00:00:00+00:00,250.8008143609,256.3128105211,0.021977584778765102,-0.02708334764699971
2020-08-31 00:00:00+00:00,257.59267778,276.2324731146,0.07236151079775466,0.043318371197557326
2020-09-30 00:00:00+00:00,275.6980427635,270.2946246197,-0.019599044264652754,0.022870328258330908
2020-10-31 00:00:00+00:00,272.0771080902,258.2830727711,-0.05069899270807787,-0.028988167055347458
2020-11-30 00:00:00+00:00,262.0248934888,289.6806216333,0.10554618599885868,0.0734984284717215
2020-12-31 00:00:00+00:00,292.7178636712,299.2171997591,0.022203414599938798,0.09733375915146181
